mediaId,mediaName,violationCode,currentValue,capOrThreshold,network,lastUpdatedAt,lastUpdatedBy
cmqg8kvgl000004jmez9xrqvi,성남 페퍼저축은행 본점 전광판,D,impressions=2950000;dailyFootfall=95000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.495Z,
cmp0ghi1y000k04ib74b3zpz2,인천지하철 1호선 계양역 디지털사이니지 (디지털포스터) 광고,D,impressions=950000;dailyFootfall=25000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.537Z,
cmretjv9h000a04jv0j4vb59t,서면 롯데백화점 중앙몰 디지털 사이니지 광고,D,impressions=3200000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.660Z,
cmp0gd45o000c04ji4usu8p0e,인천지하철 1호선 예술회관역 디지털사이니지 (디지털포스터) 광고,D,impressions=1250000;dailyFootfall=22000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.705Z,
cmqa7mm2x000104lbnnn4rn6m,제주공항 1층 도착장 라이트박스 광고 (LB-01),D,impressions=2800000;dailyFootfall=42000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.755Z,
cmoyjyni0000204jujc85dhca,대구 신세계백화점 전광판 광고,D,impressions=6500000;dailyFootfall=120000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.773Z,
cmo5xx2hc000004ju59vmg59d,명동 K파이낸스빌딩 전광판 광고,D,impressions=1400000;dailyFootfall=33414,impressions>dailyFootfall×31,,2026-08-20T02:12:05.101Z,
cms4vx7fe000904jo2kzchcof,김해국제공항 진입로 광고,D,impressions=6200000;dailyFootfall=95000,impressions>dailyFootfall×31,,2026-08-19T15:01:25.923Z,
cmoy5n2kk000204jsrrom21ib,대구 반월당역 환승구간 터널 전광판 광고 세트,D,impressions=5800000;dailyFootfall=165000,impressions>dailyFootfall×31,,2026-08-20T00:40:50.907Z,
cmqa924nc000204ky1c141kst,제주공항 국내선 출발/도착 DS 광고 (패키지),D,impressions=3200000;dailyFootfall=48000,impressions>dailyFootfall×31,,2026-08-20T01:54:51.618Z,
cmq98gjxy000704jj0lvh0o8q,스타필드 빌리지 운정점 LED 전광판 광고,D,impressions=3500000;dailyFootfall=70000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.006Z,
cmoeiqs47000004k7n7mp111t,지하철 2호선 강남역 미디어월 광고,D,impressions=1800000;dailyFootfall=54026,impressions>dailyFootfall×31,,2026-08-19T15:01:26.009Z,
cmqqtj8lq000104l4xr4ajz0v,공항철도 홍대입구역 환승통로 무인워크 패키지 광고,D,impressions=2500000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-20T02:59:05.202Z,
cmokdw4hv000204jr73i3k86r,인천공항 T2 미디어아트 광고,D,impressions=4800000;dailyFootfall=130000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.145Z,
cmqstp5bx00030bkn0xs830xg,공덕역 지하철 5호선 CM보드 영상 광고 (디지털),D,impressions=2700000;dailyFootfall=73000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.214Z,
cmrwfuh1b000g04lghb3kaxkg,인천지하철 2호선 검암역 I-SCREEN 영상광고,D,impressions=1270000;dailyFootfall=22353,impressions>dailyFootfall×31,,2026-08-19T15:01:26.218Z,
cmqqtssxl000204jy0p8pkyo8,공항철도 홍대입구역 3번 출구 랩핑 패키지 광고,D,impressions=2200000;dailyFootfall=48000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.224Z,
cmquwmka0000604l2qyl38ys7,명동 미디어폴 디지털 광고,D,impressions=6500000;dailyFootfall=120000,impressions>dailyFootfall×31,,2026-08-20T05:37:59.730Z,
cmremxktc000a04kvgdiifzb3,부산 서면교차로 전광판 광고,D,impressions=7200000;dailyFootfall=218530,impressions>dailyFootfall×31,,2026-08-19T15:01:26.250Z,
cmqsv94cy00030bjcnuxvei3k,어린이대공원역 지하철 7호선 CM보드 조명 광고 (인쇄),D,impressions=2700000;dailyFootfall=33000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.254Z,
cmp0t5w75000004l5t8265ama,대전역사거리 LED 전광판 광고,D,impressions=4200000;dailyFootfall=125000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.282Z,
cmqsv4rvb000609jf6hie6u56,장지역 지하철 8호선 CM보드 조명 광고 (인쇄),D,impressions=1350000;dailyFootfall=31000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.317Z,
cmpti93x3000004iivq6hxh24,롯데월드 매직서클 & DID 패키지 광고,D,impressions=4500000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.334Z,
cmo5ym89i000204leidj4otua,명동 ME&MN 전광판 Sync 광고,D,impressions=2800000;dailyFootfall=66571,impressions>dailyFootfall×31,,2026-08-19T15:01:26.406Z,
cmqsuq16d000009jm80iv63qr,지하철 7호선 강남구청역 CM보드 조명 광고 (인쇄),D,impressions=1650000;dailyFootfall=48000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.424Z,
cmrm3fc6d000n04kydi14rh4s,갤러리아 백화점 EAST DUAL LCD 광고,D,impressions=807500;dailyFootfall=8500,impressions>dailyFootfall×31,,2026-08-19T15:01:26.441Z,
cmp0rn2si000004ib4p2ytrb7,강원 비발디파크(구: 대명) 스키장 광고,D,impressions=520000;dailyFootfall=15000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.447Z,
cmretfj3p000604jv3d4h48ea,서면 롯데백화점 중앙몰 전광판 광고,D,impressions=2800000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.450Z,
cmpcabkgx000004kw0io16eoi,광주 금남로 천하빌딩 전광판 광고,D,impressions=2400000;dailyFootfall=65000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.461Z,
cmp0gjlox000m04ib37h33kgd,인천지하철 1호선 원인재역 디지털사이니지 (디지털포스터) 광고,D,impressions=1200000;dailyFootfall=21000,impressions>dailyFootfall×31,,2026-08-19T15:01:27.672Z,
cmpc9yuwa000004l8blx83uyn,여수 메가박스 전광판 광고,D,impressions=1800000;dailyFootfall=14200,impressions>dailyFootfall×31,,2026-08-20T00:40:42.197Z,
cmq3w55p4000304lg3tqbvgtw,성수동 렉트 외벽광고,D,impressions=2800000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-20T01:40:14.805Z,
cmqstjkkk00060aku4v2cv9am,광화문역 지하철 5호선 CM보드 영상 광고 (디지털),D,impressions=3300000;dailyFootfall=63000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.499Z,
cmo5yzb4y000404k14gg5v50o,광화문 일민미술관 전광판 광고,D,impressions=1600000;dailyFootfall=35529,impressions>dailyFootfall×31,,2026-08-19T15:01:26.503Z,
cmq3wpngl000804l55es4eret,성수동 성화빌딩 외벽광고,D,impressions=2800000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.507Z,
cmrwgei4j000b04lat8caj53b,인천지하철 1호선 인천시청역 I-SCREEN 영상광고,D,impressions=1000000;dailyFootfall=17569,impressions>dailyFootfall×31,,2026-08-19T15:01:26.526Z,
cms4eaiq9000004l7rwt2xihe,트렌드랩 성수 이마트24 카운터사이니지 광고,D,impressions=1500000;dailyFootfall=35000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.529Z,
cms4dirsw000204jr67k9mlqi,트렌드랩 성수 이마트24 쇼윈도 파사드 LED 사이니지 광고,D,impressions=2700000;dailyFootfall=45000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.544Z,
cmqagank3000004l8e6y4bf8d,롯데백화점 부산본점 DS 패키지 광고,D,impressions=5200000;dailyFootfall=95000,impressions>dailyFootfall×31,,2026-08-19T15:01:27.816Z,
cmrt2lf3g000104lah9s0f760,김포공항 국제선 3층 출발장 일반 대합실 랜드마크 미디어 PKG 광고,D,impressions=3400000;dailyFootfall=90000,impressions>dailyFootfall×31,,2026-08-19T15:01:27.823Z,
cmocx14zb000004l05j30gdrc,스타필드 하남점 미디어타워 & 파노라마 스크린 광고,D,impressions=3200000;dailyFootfall=70000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.684Z,
cmp0geb4p000i04ibjncqsfya,인천지하철 1호선 부평구청역 디지털사이니지 (디지털포스터) 광고,D,impressions=1800000;dailyFootfall=32000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.726Z,
cmo61hvk4000004juhpy0zn8i,이태원 무신사 에비뉴빌딩 전광판 광고,D,impressions=1200000;dailyFootfall=23286,impressions>dailyFootfall×31,,2026-08-19T15:01:26.747Z,
cmrn711g8000404ib3hct4qpy,성신여대입구역 강북미디어빌딩 전광판 광고,D,impressions=2400000;dailyFootfall=40000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.768Z,
cmnzd5ryk000004l40ww1vr5n,성수 SPACE-S50 외벽 아트월 광고,D,impressions=2850000;dailyFootfall=85000,impressions>dailyFootfall×31,,2026-08-19T15:01:26.855Z,
