priority,name,id,cheapestPeriod,cheapestPrice,cheapestLabel,priceNote,displayPeriod,displayPriceWon,monthlyShown,labelInfer,guess,confidence,hints
1,이태원 모드 127 외벽 아트월 광고,cmo61x9p2000004l74urruqao,2주,25000000,아트월 광고 (2주),,month,25000000,25000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,이태원 한남 스퀘어 광고,cmoig8ceq000204jxf3m4kqhl,2주,54000000,2주 아트월,,month,54000000,54000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,잠실 유토피아 전광판 광고,cmo74ek5f000004jp7xyowkfy,3일,1200000,20초 3일,,month,1200000,1200000,day,확인 필요 (N일 패키지 총액 vs 일당),low,
1,제주 노형오거리 전광판 광고,cmo6hz6l3000004jv0ncqx7l0,2주,4000000,20초 2주,,month,4000000,4000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,제주 노형이마트 전광판 광고,cmo6i5vdo000004jopntcpuo3,2주,4000000,20초 2주,,month,4000000,4000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,제주공항 프로모션 존 광고,cmqa8uayk000004if5mo3208k,2주,20000000,2주 이용,,month,20000000,20000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,note/label suggests package/total
1,종각 보신각 외벽 아트월 광고,cmox0f1q5000004ic5ttjyd43,2주,55900000,빌보드 광고 2주,,month,55900000,55900000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,종로 북촌 57갤러리 카페 외벽,cmqt1otrs00000ajfv6siozwr,2주,40000000,57갤러리 카페 외벽 (정면 + 후면 / 2면),,month,40000000,40000000,month,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,지하철 2호선 강남역 아트래핑 지하철 광고,cmofpvqak000204jrmhjsdgk7,2주,2800000,개별 2주,,month,2800000,2800000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,지하철 2호선 강남역 아트플랫폼 광고,cmpdvixn0000104jre8fcrabz,2주,4500000,단독 30초 2주,,month,4500000,4500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,지하철 2호선 강남역 PMP 광고,cmoforsto000004jrjawzqx3y,2주,17000000,20초 2주 (20구좌),,month,17000000,17000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,지하철 2호선 홍대입구역 아트래핑 광고,cmoidrv5h000004l596jxzu89,2주,2800000,개별 2주,,month,2800000,2800000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,천안·아산 버스 외부 광고,cmrl1o96l000104l1dwy24xus,1회,100000,제작비 (1대),,month,100000,100000,month,확인 필요,none,
1,춘천 중앙로터리 SC제일은행 전광판 광고,cmpdb1yeb000004jxohnd90wm,2주,2200000,2주,,month,2200000,2200000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,택배카보드 차량 광고,cmr9xedzi000a04layhba2ulc,6개월,250000,택배카보드 광고 (6개월 이상 장기계약),,month,250000,250000,month,다개월 총액 가능성 → month 단가 취급 시 과대 표시 위험,medium,
1,테헤란로 대명 루첸타워 전광판 광고,cmoehygbf000004kzbj4jjng2,2주,7000000,20초 2주,,month,7000000,7000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,한강진 한남 카시나 외벽 아트월 광고,cmoighgdj000004ldv7i295em,2주,42000000,2주 아트월,,month,42000000,42000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,한남 HILLS 외벽 아트월 광고,cmod0byfm000404l8lvj87iy2,2주,78000000,2주,,month,78000000,78000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대 동교빌딩 외벽 아트월 광고,cmoiok6vc000004ihc65he4vc,2주,35000000,2주 빌보드,,month,35000000,35000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대 상진빌딩 전광판 광고,cmoidd38o000004k09esg76px,2주,6500000,20초 2주,,month,6500000,6500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대 시그니처 전광판 광고,cmoig45kh000004i7bvdio77b,2주,6500000,20초 2주,,month,6500000,6500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대 오트파사드 E-DISPLAY & 아트월 광고,cmoifyo3g000004ldc5rkbj53,2주,6500000,E-DISPLAY 30초 2주,,month,6500000,6500000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대 한울빌딩 외벽 아트월 광고,cmoih1s8z000004l1pvbm5n9p,2주,44000000,2주 빌보드,,month,44000000,44000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대 M-스크린 배너 광고,cmox0q2ce000404i8sdxeirk1,2주,32000000,배너 광고 2주,,month,32000000,32000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,홍대입구 고종환빌딩 그래피티 외벽 광고,cmoifgrsi000004jxzwxudz86,2주,25000000,현수막 2주,,month,25000000,25000000,week,패키지 총액 가능성 높음 → biweekly(×2) 후보 (수동 확인),medium,
1,KTX 오송역 LED 영상광고,cmqjivdxk000004js6ltgkr6n,3개월,6500000,20초 영상 (3개월 이상),,month,6500000,6500000,month,다개월 총액 가능성 → month 단가 취급 시 과대 표시 위험,medium,
